order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,payment_type,payment_installments,payment_value,shipping_cost
eb24cc40-cb86-4b0c-8f0d-709e1bd49399,141d82d9-5d2e-426f-90e5-b505b58c5aa0,processing,2023-01-14 12:00:00,2023-01-14 12:38:00,2023-01-17 12:38:00,2023-01-18 12:38:00,2023-01-18 12:00:00,paypal,2,73.95,18.0
d1fab677-0ee6-4c0b-a0fe-63c87f86ca66,0afd3234-d703-40f5-bb03-375fd4327ff0,cancelled,2023-04-19 14:00:00,2023-04-19 14:21:00,2023-04-21 14:21:00,2023-04-25 14:21:00,2023-04-26 14:00:00,paypal,3,46.0,17.52
004726b7-2175-4623-8f1e-1ec29024ba6c,cff99129-a0ba-40e8-aa72-33975705f6b1,cancelled,2023-04-25 20:00:00,2023-04-25 20:05:00,2023-04-28 20:05:00,2023-04-29 20:05:00,2023-04-28 20:00:00,debit_card,2,244.97,17.59
7a474849-e868-42bd-8d88-47d9ecca5f80,6c00d24b-e25c-4e25-95ac-5b5cb332f762,shipped,2023-08-27 22:00:00,2023-08-27 22:17:00,2023-08-29 22:17:00,2023-08-31 22:17:00,2023-08-31 22:00:00,debit_card,3,181.92,6.62
bfc66a59-e767-4a11-aff8-739a56c6e3d0,7c00e256-8b08-44f2-8581-387a49dded9d,invoiced,2023-07-23 22:00:00,2023-07-23 22:13:00,2023-07-24 22:13:00,2023-07-29 22:13:00,2023-07-29 22:00:00,credit_card,6,382.76,16.59
cd912d85-4564-4f73-984c-6f04dbb9a6cc,e7e25c57-eeda-4123-948e-b151826e980f,processing,2023-08-08 21:00:00,2023-08-08 21:24:00,2023-08-09 21:24:00,2023-08-14 21:24:00,2023-08-16 21:00:00,credit_card,4,120.04,17.33
69850b10-4f2f-4be4-95ed-0ef3758b56da,9cdb5cfa-5f3f-46a4-b4dd-c076370846d3,invoiced,2023-12-29 04:00:00,2023-12-29 04:28:00,2023-12-30 04:28:00,2024-01-04 04:28:00,2024-01-05 04:00:00,paypal,4,200.5,11.53
c9f7073b-f584-4323-811b-f2a24256b9a7,aa429494-f81f-4bbf-abce-22d6bf33649a,invoiced,2023-05-05 14:00:00,2023-05-05 14:37:00,2023-05-08 14:37:00,2023-05-12 14:37:00,2023-05-13 14:00:00,credit_card,4,67.0,17.76
43cb556e-eca5-4ab1-9c9f-4ae4e30dfa76,5d1383ac-84ba-4440-98f0-564d67c25c62,cancelled,2023-06-24 08:00:00,2023-06-24 08:57:00,2023-06-27 08:57:00,2023-06-30 08:57:00,2023-06-27 08:00:00,debit_card,1,258.74,8.62
43afe573-7560-4acc-88f7-c9d72529cdcb,01cd4804-dcd2-40c7-831c-3aae53135c09,invoiced,2023-11-27 22:00:00,2023-11-27 22:32:00,2023-11-29 22:32:00,2023-11-30 22:32:00,2023-12-01 22:00:00,voucher,2,74.24,11.07
